Vachellia pennatula
Myiodynastes maculatus
Brachionus caudatus
Pachycondyla villosa
Marmosa robinsoni
Ammodramus humeralis
Dione vanillae
Crotalaria retusa
Colobura dirce
Plumbago zeylanica
Odontomachus opaciventris
Polyarthra vulgaris
Progne tapera
Staphylus vulgata
Herissantia crispa
Pristimera verrucosa
Oxybelis aeneus
Sida ciliaris
Desmanthus virgatus
Myotis nesopolus
Cantorchilus leucotis
Hexarthra intermedia
Cecropia peltata
Arremonops tocuyensis
Gossypium barbadense
Nyctibius griseus
Amaranthus crassipes
Leptogenys mucronata
Hibiscus phoeniceus
Belencita nemorosa
Xiphorhynchus picus
Didelphis marsupialis
Dorymyrmex bicolor
Ateles hybridus
Cyperus articulatus
Caquetaia kraussii
Pteronotus personatus
Heliotropium angiospermum
Prochilodus reticulatus
Ichthyoelephas longirostris
Coccoloba acuminata
Pteronymia simplex
Megathyrsus maximus
Anochetus mayri
Amyris sylvatica
Mimosa arenosa
Ameiva praesignis
Sublegatus arenarum
Crypturellus erythropus
Cardinalis phoeniceus
Paratrechina longicornis
Lemna minor
Falco femoralis
Zoanthus pulchellus
Pithecellobium hymeneaefolium
Cissia pompilia
Imperata cylindrica
Crotophaga sulcirostris
Phacus tortus
Cnemotriccus fuscatus
Sternopygus aequilabiatus
Pheucticus ludovicianus
Copernicia prunifera
Phalacrocorax brasilianus
Tyrannulus elatus
Gilbertolus alatus
Caracara plancus
Phaeomyias murina
Hantzschia sigma
Rhinella humboldti
Hemibrycon jabonero
Pheidole longiscapa
Elaenia chiriquensis
Turdus leucomelas
Senna bicapsularis
Astraptes alector
Scatimus ovatus
Campylorhamphus trochilirostris
Glaucis hirsutus
Aphelandra pulcherrima
Pyrisitia nise
Glutophrissa drusilla
Gallinula chloropus
Lecythis minor
Chomelia spinosa
Sporophila nigricollis
Cyanocorax affinis
Cynophalla hastata
Triumfetta rhomboidea
Adelpha iphiclus
Ramphastos sulfuratus
Saccoderma hastata
Strymon albata
Buteogallus meridionalis
Sturnira lilium
Nitzschia lorenziana
Cynophalla flexuosa
Zenaida auriculata
Pithecellobium lanceolatum
Melanis electron
Porites divaricata
Glaucidium brasilianum
Piranga olivacea
Amazona ochrocephala
Mandevilla boliviensis
Boana xerophylla
Lecane leontina
Imantodes cenchoa
Malagoniella astyanax
Senna bacillaris
Randia aculeata
Mastigodryas pleii
Urbanus dorantes
Serjania rhombea
Calycopis isobeon
Apareiodon affinis
Pachyramphus rufus
Danaus eresimus
Salminus affinis
Epictia goudotii
Phallusia nigra
Coccoloba lehmannii
Rhinella horribilis
Turdus grayi
Ophioderma brevispinum
Setaria utowanaea
Dasyloricaria filamentosa
Dromococcyx phasianellus
Timochares trifasciata
Serjania clematidea
Evolvulus convolvuloides
Diploria labyrinthiformis
Dynamine theseus
Solenopsis stricta
Moina micrura
Taygetis thamyra
Lithopoma tuber
Trichomycterus striatus
Mytilina ventralis
Elanus leucurus
Colurella obtusa
Synapte malitiosa
Certhiaxis cinnamomeus
Casearia corymbosa
Monilicarpa tenuisiliqua
Diaphanosoma brevireme
Nica flavilla
Agonandra brasiliensis
Chondrohierax uncinatus
Ludwigia helminthorrhiza
Tyrannus dominicensis
Tapera naevia
Tretioscincus bifasciatus
Pogonomyrmex mayri
Pitangus lictor
Crypturellus soui
Albizia niopoides
Catharus fuscescens
Pilherodius pileatus
Bursera graveolens
Tillandsia flexuosa
Zygia latifolia
Brachionus bidentatus
Cephalotes christopherseni
Pteronotus davyi
Danaus gilippus
Mastigodryas boddaerti
Saccopteryx canescens
Rhyacophila lobifera
Chrysomus icterocephalus
Promops centralis
Typha angustifolia
Paraleptophlebia debilis
Phimophis guianensis
Anacardium excelsum
Terpsinoe musica
Remella vopiscus
Sapium glandulosum
Leptodactylus fuscus
Abutilon viscosum
Sturnella militaris
Chlorestes cyanus
Diodon holocanthus
Astyanax bimaculatus
Lophostoma silvicola
Phyllanthus botryanthus
Hypoponera opacior
Anhinga anhinga
Cynophalla verrucosa
Tantilla semicincta
Engystomops pustulosus
Lecane cornuta
Platyias quadricornis
Casearia tremula
Polioptila plumbea
Mniotilta varia
Achatocarpus nigricans
Pipa parva
Vachellia tortuosa
Crateva tapia
Trachelomonas armata
Cerithium eburneum
Sterculia apetala
Argyreuptychia labe
Contopus virens
Myiarchus tuberculifer
Philaethria dido
Artibeus obscurus
Corallus hortulana
Nitzschia closterium
Onthophagus lebasi
Thalassia testudinum
Scatonomus insignis
Senna obtusifolia
Ectima thecla
Ictinia mississippiensis
Brosimum alicastrum
Senna pallida
Trachemys venusta
Sturisomatichthys panamense
Hylophilus aurantiifrons
Aristolochia anguicida
Calidris minutilla
Pitangus sulphuratus
Genipa americana
Lecane luna
Mycteria americana
Anochetus vallensis
Achyranthes aspera
Brachionus angularis
Brachionus havanaensis
Burhinus bistriatus
Dynamine mylitta
Falco deiroleucus
Polyerata amabilis
Onthophagus marginicollis
Myiarchus tyrannulus
Antigonus erosus
Alternanthera halimifolia
Thecla rufofusca
Varronia subtruncata
Campylorhynchus griseus
Andinoacara pulcher
Pavonia sepium
Eurema daira
Eragrostis pilosa
Cnidoscolus urens
Dryocopus lineatus
Ara militaris
Catharus minimus
Pseudomyrmex gracilis
Sturisomatichthys aureum
Cordia gerascanthus
Sturnella magna
Butorides striata
Lithopoma brevispina
Haematera pyrame
Canthon juvencus
Tabanus atratus
Alternanthera flavescens
Forpus passerinus
Pseudis paradoxa
Acromyrmex rugosus
Lonchocarpus punctatus
Inga vera
Biblis hyperia
Egretta tricolor
Leopardus tigrinus
Nomonyx dominicus
Thamnodynastes pallidus
Ara severus
Simira cesariana
Oecomys trinitatis
Brachidontes modiolus
Hetaerina americana
Gomphrena vermicularis
Leucopternis albicollis
Amaranthus dubius
Coccyzus lansbergi
Indigofera subulata
Helicolestes hamatus
Assulina seminulum
Diabroctis cadmus
Diaphanosoma spinulosum
Carica papaya
Busarellus nigricollis
Commelina diffusa
Euphonia laniirostris
Limenitis cestus
Tonatia saurophila
Synargis mycone
Awaous banana
Aguna aurunce
Bursera simaruba
Sporophila bouvronides
Heliopetes arsalte
Eumops perotis
Bursera glabra
Ruellia tuberosa
Solenopsis gayi
Sporophila intermedia
Myiothlypis flaveola
Ircinia strobilina
Inezia subflava
Eurema albula
Dasyprocta punctata
